bug_id,long_description,label
WINE-27770,hello please test wine iexplore http liblearn osu edu tutor jscript html no message popup for me,1
WINE-1917,moving a dialogbox with a mouse produces shadows multiple dialogboxes with disappear after some time this behavior does not occur on my w k machine compiled with vc tested with own c api program happens also than i compile the program using winemaker i can mail the test program very small i would fix the bug by myself unfortunatelly i do not know enough about linux only c and c on ms it looks like that w k hides the dialog during moving wine does not sincerely chris chayaphum kingdom of thailand,1
WINE-24800,created attachment wine output with mesa git master r gallium driver the game panzers ii shows lot of wine warnings and mesa errors like mesa user error gl invalid value in glteximage d internalformat x e err d d check fbo compat gl invalid value x from framebuffer format check utils c fixme d d check fbo compat format wined dfmt r float with rendertarget flag is not supported as fbo color attachment and no fallback specified full output is attached according to a mesa developer the problem is that current mesa git master implements arb texture rg and wine thinks it also support r g float textures https bugs freedesktop org show bug cgi id indeed when disabling such mesa extension with the env variable mesa extension override gl arb texture rg the warnings no longer appear output also attached other than the warning i see no obvious visual differences i am using wine found on ubuntu with a radeon x rv card using the gallium r driver ,0
WINE-29440,created attachment install crash log it used to install but not to run ,0
WINE-26808,created attachment terminal output the demo installs fine but won t run even after the following native components are installed via winetricks d dx vcrun xact the game throws an error dialogue saying that no audio device can be found to reproduce the issue in the demo install the demo by wine msiexec i installbluetoadseasononedemo msi winetricks vcrun d dx xact launch the demo by wine bt application win exe an error dialogue is shown and the game crashes excerpt from the log err ole cogetclassobject class a a fba b a b af not registered that refers to a newer version of the xaudio libraries which come bundled in the june directx redistributable however the current winetricks script installs directx libs from the february package in which they re not included the required files xaudio dll xactengine dll xapofx dll you have to hunt them down from a windows machine with up to date directx place them in system and register them with regsvr exe the game will start correctly afterwards ,1
WINEHQ_BUGZILLA-18678,pick a bug http bugs winehq org show bug cgi id click on the help at the top not found,1
WINE-9222,the sound while playing counterstrike is choppy and slows down the entire interface the sound worked fine back with the broken arts driver and when that was removed i went to alsa where i ve since had this problem i ll attach the output from running winedebug warn dsound wine steam i launch cs through steam i am using and have a clean wine directory this problem likely existed in alsa long before arts was removed from wine so i m not sure how useful the version information is i don t know much about which options to tweak in the audio tab of winecfg but i have only alsa enabled hardware acceleration is full default sample rate is default bits per sample is and driver emulation is unchecked let me know what additional information i can provide alex,0
WINE-42420,created attachment crash backtrace when running midiillustrator virtuoso it starts it works fine except for when opening a file dialog crashes attached is backtrace ,1
WINE-12097,as seen on http pf krakow sdi tpnet pl wine transl we have a lot of out of sync resources sometimes it s menus missing only a separator and some of them are probably false positives e g korean dialogs declares a font while english doesn t but they probably need to to have korean characters however it would be good to have a confirmation but often these are missing menu items or stringtable entries this can lead to shell folders like my documents not to be created or empty strings like in http www winehq org pipermail wine devel attachments a add app png i think as wine should be a stable release we shouldn t ship such resources we could try e g to add an options to wrc to copy missing strings from english stringtables while for other resources surround them by ifdef include broken resources that wouldn t be set when compiling wine but would be used be used by the statistic scripts to notify the translators about broken resources another solution would be to use something like the po mo files ,0
WINE-TESTBOT-34965,winhttp tests a secure connection to google com but fails because the vm time out of the certificates time range winhttp winhttp start winhttp c winhttp callback status flag cert date invalid winhttp c test failed failed to send request winhttp c ftstart wednesday november pm winhttp c ftexpiry thursday march am winhttp c local friday october am after hacking this into the tests before the skip size sizeof info ret winhttpqueryoption req winhttp option security certificate struct ok ret failed to retrieve certificate info u n getlasterror systemtime st char exdate extime filetimetosystemtime getdateformata locale user default date longdate gettimeformata locale user default trace ftstart s s n exdate extime filetimetosystemtime getdateformata locale user default date longdate gettimeformata locale user default trace ftexpiry s s n exdate extime getlocaltime getdateformata locale user default date longdate gettimeformata locale user default trace local s s n exdate extime ,1
WINE-18018,i noticed this bug in and tested it in my earliest pre compiled package too and it was present there the problem is that gun metal does not seem to respond to my joystick at all playstation dualshock style controller however the joystick works fine with other applications in wine including gta san andreas url is to the gun metal demo version which exhibits the problem i ve tested with both evdev and js devices i m unsure what additional information to supply such as debug logs ,1
WINE-13743,created attachment checkboxes as buttons in voyage century download here http vc igg com download client php when going to a dialog any checkbox is drawn as a button this is not a critical bug because the buttons still act like checkboxs and are functional but it would be nice to have this fixed see screenshot of what i mean also you will notice that the button text is pink don t know if that s related or belongs in another bug tracker ,1
WINE-38694,created attachment terminal output the application starts properly in wine g ce ba although fonts look ugly with built in dwrite dll the crash reported here is fully reproducible on my system it s just a matter of time and tries when it happens steps to reproduce the crash click the button click the button no need to change anything just close the window repeat the above steps until the application crashes sometimes it takes only tries other times it needs attempts to reproduce the crash disabling dwrite makes the crash go away fedora x wine g ce ba spectre installer exe sha d dd f d b f dde d b fbed a ,0
WINE-885,bug comments restored from gmane org when playing riven i can move ahead and the screens are fine but when i want to rotate the view the screen gets corrupted i think i have tracked the problem down to stretchblt and bitblt in x but i have run into problems debugging it it turns out that winedbg uses bitblt internalstretchblt extensivly so i cannot use winedbg to track down additional comments from tony lambregts telusplanet net created an attachment id screen shot before rotate additional comments from tony lambregts telusplanet net created an attachment id screen shot after rotate additional comments from tony lambregts telusplanet net created an attachment id screenshot of what it should look liek after rotate additional comments from tony lambregts telusplanet net created an attachment id short log file that goes with screen shots additional comments from dclark akamail com yep i agree i noticed that by setting transitions to best it becomes really obvious what is happening it is supposed to scroll the window left or right and then paints in the new portion of the display it does it with calls like this trace scroll x drv scrolldc dc hrgnupdate rcupdate nil which as you suggest causes a bitblt trace bitblt bitblt hdcsrc dc bpp hdcdest dc x x rop cc for some reason that does not seem to be working only the new part is being painted in the scroll never happens i never got much beyond that point additional comments from tony lambregts telusplanet net bitblt hdcsrc dc bpp hdcdest dc x x rop cc ok this looks to me like the source and destination are the same hdcsrc and hdcdest both dc based on my experience with simcity s screen corruption i am inclined to be suspicious of this the other thing about it is that it is bpp and as lionel says its evil source x source y destination x destination y width hieght so my assumption is that you clicked on the right side of the screen and the left hand side of the screen is not getting updated right additional comments from dclark akamail com yep that was a click on the right and of course there is a series of quick scrolls of various sizes corresponding to the various sized pieces left on the right side causing the screen corruption trace scroll x drv scrolldc dc hrgnupdate rcupdate nil trace scroll x drv scrolldc dc hrgnupdate rcupdate nil trace scroll x drv scrolldc dc hrgnupdate rcupdate nil trace scroll x drv scrolldc dc hrgnupdate rcupdate nil trace scroll x drv scrolldc dc hrgnupdate rcupdate nil i think bits is only because that is what my video card is set for so that is what wine is using riven itself is only bit color as i recall additional comments from tony lambregts telusplanet net well i ve tracked it down to this code snippet case srccopy xcc if dcsrc bitsperpixel dcdst bitsperpixel wine tsx lock xsetfunction gdi display physdevdst gc gxcopy xcopyarea gdi display physdevsrc drawable physdevdst drawable physdevdst gc physdevsrc org x visrectsrc left physdevsrc org y visrectsrc top width height physdevdst org x visrectdst left physdevdst org y visrectdst top physdevdst exposures wine tsx unlock return true in each case it goes into this code xcopyarea is not a wine function can you confirm additional comments from dclark akamail com yep it looks like that for me i added a trace to check the parameters to xcopyarea and they look ok case srccopy xcc if dcsrc bitsperpixel dcdst bitsperpixel trace src xy d d size d d dst xy d d n physdevsrc org x visrectsrc left physdevsrc org y visrectsrc top width height physdevdst org x visrectdst left physdevdst org y visrectdst top i think what is happening is that the first bitblt is doing the scroll on an internal image trace bitblt bitblt hdcsrc dc bpp hdcdest dc x x rop cc trace bitblt bitblt internalstretchblt src xy size dst xy and then the second copies the entire image to the screen trace bitblt stretchblt dc x x x x rop cc trace bitmap x drv dib setimagebits xputimage x x b ec trace bitblt bitblt internalstretchblt src xy size dst xy the dst xy on this second one is offset to accomodate the frame i think additional comments from tony lambregts telusplanet net it s a timing problem it seems that when the source and destination are the same the screen is not updated properly before the next bitblt i found this out by putting a fixme in a for loop i wanted to slow this down so i could see the problem as it progressed what it did is clear the problem up physdevdst exposures wine tsx unlock if physdevdst physdevsrc int q for q q q fixme same source return true additional comments from tony lambregts telusplanet net created an attachment id horribly hacked solution that masks the problem patch additional comments from tony lambregts telusplanet net duane have you tried riven with either of my hacks and if so what do you think the problem is do you have any idea how to really fix this or should we leave it to one of the real wine guru s additional comments from dclark akamail com i tried both they partially fix it for me but not completely i still get a single piece of the old view though it is a much smaller piece than before it always happens if i first move forward and then turn sideways and of course the other noticable thing is that the window does not slide scroll but instead just jumps from one view to the other i notice that if i obscure part of the window with another window and then uncover it that it is repainted with the corruption still there by the way i can always get the window to repaint correctly by sliding my mouse down into the area at the bottom where the books are kept this might require the window focus to be set to focus follows mouse i don t really have much of a feel for where the problem is it appears to me that the bitblt commands have the correct parameters so like you i think this is some sort of timing problem i have the xlib reference book that explains the xcopyarea command but it does not mention any gotchas if the two drawables are the same at the point i don t think i now enough to know how to attack it additional comments from tony lambregts telusplanet net i ve had several days to think about this one and i have come up with the following conclusions the problem is not with the source and destination drawables being the same this is pretty rock stable stuff that has been tested in x for years also while debuging bug i noticed that when scrolling in the file dialog that the source and destination were the same with no screen corruption i had put a fixme in the code to detect this so it isn t this timing is a factor because slowing down the execution of same drawables clears up the problem somewhat if i move forward and then turn at the begining of the trace there is this fixme fixme bitblt x drv bitblt potential optimization client side dib copy this does not occure if i am turning around in circles what brought my attention to this is that another program that has screen corruption bug displays this fixme a lot all that means is that i understand the problem a little better and have a hint of where to look next i suppose my burning question at this point is what does the somewhat cryptic fixme really mean additional comments from dclark akamail com i think that slowing down redrawing is actually masking the problem rather than fixing it somewhat i noticed that what riven appears to do is measure how long it takes to perform a scroll and if it is too long riven does fewer scrolls with larger chunks i think this is what it is doing what it initially does several zero length scrolls and specifically what makes it appear to work is that if scrolling takes really long it does the scroll in a single step since the painting of the fill image has always worked if the fill image is the entire thing it appears to work so in short i am less confident now that it really is a timing issue additional comments from dclark akamail com fixed by http www winehq com hypermail wine cvs html additional comments from tony lambregts telusplanet net closing thanks duane ,0
WINE-9336,hi udpixel http udpix free fr a program for removing dead pixels in a tft screen dosn t work the program come in two variants ver needs microsoft net framework ver needs microsoft net framework i installed mono ver instead since none of the installers for microsoft framework was working in wine the output when i try to run the program wine udpixel en exe stacktrace if this is totally mono related then please help me with some instructions on how to make a bug report on their site http www mono project com bugs from what i can tell they doesn t seem to be that interested in bugs like this and this program doesn t work but more in this and this source code doesn t work anyone who knows a similar native linux program to udpixel ,0
WINE-36026,created attachment that s the log that i received i tried to uninstall hawking control center for a print server http hawkingtech com products hawking products print servers hmps u html,0
WINE-24683,created attachment epicenter setup in wine epicenter setup heading in the top left you can see it renders the text twice is not in italic and has some white underneath the text terminal output fixme win disableprocesswindowsghosting stub,1
WINE-23033,created attachment the error window after i started runaway the dream of the turtle a windows appears with an error message dll not found shell dll dll,1
WINE-4610,while testing vlc a win http appdb winehq org appview php versionid run from the app directory wine vlc exe i used streaming to udp as transport and a native vlc as output the bug exists also when using local output but ddraw crashed wine and esd audio is unusable tested with various avi and mp files the total time is sometimes negativ or much to large hours and changes often but not every second when the actual time is updated example the position slider stay on the left position by by detlef,1
WINE-15212,a program trying register and load an activex control ctschedule ocx from www dbi tech com fails to do so it s working fine in win and winxp after some debugging i found out that olecreate returns e invalidarg i ve been trying to find the reason but it s a little out of my reach the activex control seems to register okey regsvr prints the usual successfully registered dll ctschedule ocx i ve checked the registry and compared to winxp and everything seems normal from what i can see in the debug i think the activex control is loading the attached file debug simple txt contains the relay debug channel from olecreate is called until it returns the attached file debug full txt contains both the relay and heap debug channels ,1
WINE-31120,created attachment terminal output the game crashes after starting when the company logo should be played the same bug regression affects sacred underworld too the result of the regression test e f eb f f c ea ed fc is the first bad commit commit e f eb f f c ea ed fc author michael stefaniuc date mon jul quartz standardize com aggregation for filtergraph d e c eb f a b b d d bbb a ebfa b c fb ae dbbd ae db fbb bd m dlls native quartz dll is a workaround to reproduce the problem with the demo version install the demo as usual launch the game with bin clonesgame exe you will receive an immediate crash in quartz filtergraph c as can be seen in the attached log fedora x ,0
WINE-6777,sound forge s cd architect f can t be installed the installation starts ok but then it gives the following error message unable to install software this software product requires directx media streaming services a formally known as activemovie or later to be installed after this the installer quits this happens in all wine versions ,1
WINE-2486,hi all i created a simple application with delphi and realised that if i set the anchors property to auto align a component to grow each time a the window was maximized or resized wine couldn t do this in result emulating my program with wine i could not maximize or resize the form the anchors property on delphi has the capability to set an anchor in four ways top left right bottom so that if i set a anchor at the top and at the bottom resizing the window vertically would automatically resize the component to fit the window i will try this on the new realesed version but i don t think it will work thank you love wine,1
WINE-18063,created attachment a test demonstrating the problem this is affecting urls in outlook html messages outbind xxxxxxxxx http wine dir should result in http wine dir but presently results in http wine dir attached is a patch that contains a test the demonstrates the issue ,0
WINE-12705,openal installation does not show the license instead there is an empty white box scrolling makes the license appear but the scrolling can only show the beginning or the end of the text and can t be used for a median position note the openal sdk use another kind of installer and doesn t have this bug ,1
WINE-30844,created attachment crash report when virtualdj home is left undisturbed for a while virtualdj home free sometimes fail after being idle for a while in browser window virtualdj show sign before music folder even if it does not hold anything clicking on crashes the program the playback quality is also bad may be due to bad buffer setting ,1
WINE-10971,created attachment io int log regression happens since this commit http source winehq org git wine git a commith e a ce d b b f c d f d e f b kernel forward interrupts in bit code to winedos too prior to this skype could be started in win x mode it doesn t work in xp because of other bugs then it would show ole error message but afterwards would be perfectly usable now the app starts just like before but crashes after a few seconds of running attaching log,0
WINE-3346,upon compiling wine on ubuntu hoary or ubuntu breezy it crashes while getting to compiling the x server libary sadly i do not have time to type it up here but more information is avaliable here http www ubuntuforums org showthread php t highlight wine i get both errors posted actually i am ppower i can report that this problem also occures under cvs however at the time the cvs hasnt been updated since was dropped out so it doesnt really make any difference i have tried this with gcc with cpp and g and gcc with its revelent cpp and g thankyou ,0
WINE-31856,when you shift within the shareware text editor textpad which generally is excellent supported by wine to full screen view that works pretty well however when you return from full screen view to the normal view the window header gets lost messages are not printed out ,1
